work,subjects_d1,subjects_d2,people_d1,people_d2,places_d1,places_d2,times_d1,times_d2
OL2463101W,-3.7244408,-3.9539707,0.0,0.0,0.0,0.0,0.0,0.0
OL500181W,-6.858377,-6.082898,-23.456812,15.56646,-24.735525,6.2688932,3.3317113,-9.350607
OL10656714W,-6.3932967,-3.2318413,-23.419127,15.599712,-24.714441,6.239841,-9.771774,27.00149
OL500175W,-2.6420333,-6.0988617,0.0,0.0,-18.256962,7.3713784,0.0,0.0
OL20997417W,-10.729251,-9.038471,0.0,0.0,0.0,0.0,0.0,0.0
OL500182W,-5.7521625,-3.162149,0.0,0.0,0.0,0.0,0.0,0.0
OL16052202W,-5.838178,-5.589152,0.0,0.0,-24.794575,6.2762647,0.0,0.0
OL500169W,-10.905944,-9.199675,0.0,0.0,0.0,0.0,0.0,0.0
OL500177W,-3.0077147,-6.241274,0.0,0.0,-5.785308,7.764617,0.0,0.0
OL1682241W,-3.2299588,-4.8194823,0.0,0.0,17.376986,-17.169664,0.0,0.0
OL11680292W,-3.6853693,-7.7870173,0.0,0.0,0.0,0.0,0.0,0.0
OL1682224W,-2.7804816,-5.0398335,0.0,0.0,17.35285,-17.205906,0.0,0.0
OL1682213W,-2.6141615,-6.2624354,0.0,0.0,14.062941,20.362532,0.0,0.0
OL3000168W,-8.8313465,-4.9029617,0.0,0.0,0.0,0.0,0.0,0.0
OL1682237W,-3.1083786,-4.925304,0.0,0.0,-0.18291967,16.263113,0.0,0.0
OL1682229W,-3.0337684,-4.650112,0.0,0.0,0.0,0.0,0.0,0.0
OL1682232W,-2.943771,-5.318754,0.0,0.0,0.0,0.0,0.0,0.0
OL15857116W,-2.5935023,-5.4324126,0.0,0.0,0.0,0.0,0.0,0.0
OL1682212W,2.5131042,-4.0753183,0.0,0.0,0.0,0.0,0.0,0.0
OL1682217W,-6.3008285,-3.052875,0.0,0.0,0.0,0.0,0.0,0.0
OL14911083W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OL276557W,-8.112215,-5.323325,0.0,0.0,0.0,0.0,-22.40575,26.3374
OL3292772W,-10.239566,-6.7098064,0.0,0.0,-24.80727,6.2450633,0.0,0.0
OL4741769W,-7.310958,-4.2821627,0.0,0.0,-18.38407,7.380085,0.0,0.0
OL4291077W,-6.6442795,-4.6165752,0.0,0.0,-24.706867,6.3507,-9.787839,27.029858
OL2908398W,-7.82457,-4.8812294,0.0,0.0,0.0,0.0,0.0,0.0
OL101954W,-10.887636,-9.195015,0.0,0.0,0.0,0.0,0.0,0.0
OL71633W,-6.63656,-4.963681,-20.96727,14.482592,-24.788157,6.456337,0.0,0.0
OL2982341W,-6.66708,-5.351262,-20.952135,14.48315,-24.816452,6.37876,0.0,0.0
OL2727923W,-6.713016,-5.103558,-20.965185,14.476342,-24.627352,6.3436403,0.0,0.0
OL15051877W,-10.9308,-9.240709,0.0,0.0,0.0,0.0,0.0,0.0
OL19115952W,-0.67107266,-5.619081,0.0,0.0,0.0,0.0,0.0,0.0
OL5861186W,-11.016851,-7.7171035,0.0,0.0,0.0,0.0,0.0,0.0
OL7796875W,-6.542666,-2.1124222,-21.623833,14.148848,0.0,0.0,0.0,0.0
OL2430140W,-1.3173857,-3.509718,-23.903183,14.516734,11.785763,6.9434867,1.2741393,6.422087
OL8052792W,-10.989959,-9.076302,0.0,0.0,0.0,0.0,0.0,0.0
OL273768W,-4.5209575,-5.1365623,-21.195442,14.74325,2.551346,4.8630323,0.0,0.0
OL5962664W,-2.3777843,-4.937897,0.0,0.0,0.0,0.0,0.0,0.0
OL510271W,-1.987675,-7.6784368,0.0,0.0,10.135074,14.111908,0.0,0.0
OL5860914W,-10.907311,-7.1567745,0.0,0.0,0.0,0.0,0.0,0.0
OL710818W,-10.906486,-7.162756,0.0,0.0,0.0,0.0,0.0,0.0
OL2395648W,-7.941553,-3.8451252,0.0,0.0,0.0,0.0,0.0,0.0
OL5844638W,-7.9416256,-2.2699647,0.0,0.0,-24.695103,6.3126545,0.0,0.0
OL5844640W,-6.724712,-3.644451,0.0,0.0,-24.76707,6.367238,-10.283483,18.032177
OL15334751W,-1.8573422,-6.0625544,0.0,0.0,0.0,0.0,0.0,0.0
OL827357W,-7.9268627,-6.8230286,-23.037647,14.831971,-24.758678,6.2549324,0.0,0.0
OL495078W,-1.0368764,-2.1326883,0.0,0.0,0.0,0.0,0.0,0.0
OL4469131W,-8.092717,-6.6127925,-23.043396,14.726527,0.0,0.0,0.0,0.0
OL2030688W,-10.808563,-8.697085,0.0,0.0,0.0,0.0,0.0,0.0
OL23991188W,-6.408471,-4.429661,0.0,0.0,0.0,0.0,3.2914715,-9.219589
