,Unnamed: 0,work,subjects,people,times,places
30,30,OL15842018W,"['Fantasy', 'Juvenile fiction', 'Fiction', 'American Fantasy fiction', 'Changelings', ""Children's fiction"", 'Fantasy fiction']",,,['New York (N.Y.)']
31,31,OL92477W,"['Fantasy', 'Fiction', 'Islands', 'Magic', 'Fantasy fiction', 'Kings, queens, rulers, etc., fiction', ""Children's fiction""]",,,
32,32,OL29895W,"['Friendship', 'Fiction']",,,
33,33,OL3374128W,"['Fiction, historical', 'Fiction, psychological', 'Ireland, fiction', 'Women', 'Fiction', 'Identity (Psychology)', 'Passing (Identity)', 'Gender identity', 'Sex role']",,,
34,34,OL2907854W,"['Fiction, romance, historical, general', 'Fiction', 'History', 'Large type books', 'Great britain, fiction', 'Accessible book', 'Fiction, romance, historical', 'Fiction, family life']",,"['Victoria, 1837-1901']",['Great Britain']
35,35,OL4112932W,"['Fiction', 'Esclavitud', 'National Book Critics Circle Award Winner', 'African American slaveholders', 'award:national_book_critics_circle_award=2003', 'Historical fiction', 'Vida en la plantación', 'African American plantation owners', 'Dueños de plantaciones afronorteamericanos', 'Slavery', 'Novela histórica', 'open_syllabus_project', 'Slaves', 'Plantation life', 'Dueños de esclavos afronorteamericanos', 'award:national_book_critics_circle_award=fiction', 'Esclavos', 'Ficción', 'African Americans', 'African American plantation owners-Fiction', 'Plantations', 'African American Novel And Short Story', 'Fiction - General', 'Spanish: Adult Fiction', 'General', 'Historical - General', ""Propriétaires d'esclaves noirs américains"", 'Esclaves', 'Esclavage', 'Vie dans les plantations', 'Romans, nouvelles', '18.06 Anglo-American literature', 'Fiction, historical', 'African americans, fiction', 'Slaves, fiction', 'Virginia, fiction', 'Fiction, historical, general']",,,['Virginia']
36,36,OL4112928W,"['African American slaveholders', 'Slaves', 'African American plantation owners', 'Fiction', 'Slavery', 'Plantation life', 'African americans, fiction', 'Fiction, historical, general', 'Large type books']",,,
37,37,OL1626206W,"['Derivative securities', 'Derivaten (financiën)']",,,
38,38,OL8929696W,['Video games'],,,
39,39,OL116217W,['Essays (single author)'],,,
40,40,OL7986803W,"['Transportation', 'Freight and freightage', 'Travel', 'New York Times reviewed', 'Freight']",,,
41,41,OL15213051W,"['Medicine', 'Physicians (General practice)', 'Specialties and specialists', 'Family medicine', 'Physician-Patient Relations', 'General Practitioners', 'Family Practice', 'Family Physicians']",,,['United States']
42,42,OL116220W,"['Environmental protection', 'Nature', 'Effect of human beings on', 'Influence on nature', 'Man', 'Human beings', 'Long Now Manual for Civilization', 'Nature, effect of human beings on', 'New York Times reviewed']",,,
43,43,OL11293225W,"['Geology', 'Long Now Manual for Civilization', 'Geology, united states']",,,['United States']
44,44,OL16083005W,"['Description and travel', 'Descriptions et voyages', 'Travel', 'Alaska, history', 'Alaska, description and travel', 'Alaska, biography']",['John A. McPhee'],,['Alaska']
45,45,OL7986801W,"['Switzerland', 'Switzerland. Armee', 'Defenses', 'Neutrality', 'Switzerland, history', 'Switzerland, politics and government', 'Switzerland. Armée']",,,['Switzerland']
46,46,OL7986799W,"['Short stories', 'Essays', 'American essays', 'Fiction, short stories (single author)']",,,
47,47,OL21219576W,"['Geology, history', 'Geology, united states']",,,
48,48,OL20083722W,"['Female friendship', 'Drama', 'Women art historians', 'American drama', 'American drama (dramatic works by one author)']",,,
49,49,OL1752006W,['American drama (dramatic works by one author)'],,,
50,50,OL2666072W,"['Language experience approach in education', 'Direct instruction', 'Correlation with content subjects', 'Language arts']",,,
51,51,OL5738331W,"['Beadwork', 'Crafts', 'Jewelry making', 'Nonfiction']",,,
52,52,OL8379832W,"['Church work with children', 'Charismatische Bewegung', 'Missionaries', 'Mission', 'Biography', 'Missionaries, biography', 'Missions, africa']",,,
53,53,OL2666076W,"['Teacher participation in curriculum planning', 'Educational tests and measurements', 'Tests et mesures en education', 'Enseignants', 'Curriculumplanung', 'Schultest', 'Curriculum planning', 'Curriculum development', 'Teachers', ""Participation a la planification des programmes d'etudes"", 'Assessment', 'Tests et mesures en éducation', ""Participation à la planification des programmes d'études""]",,,['United States']
54,54,OL1455042W,"['Johanna Spyri', 'Shirley Temple', 'Movie tie-in', 'Children', 'Babies', 'Toddlers', 'Grades 3-4', ""Children's"", ""Kid's"", 'Juvenile', 'Adult', 'Fiction', 'Classic', 'Literature', 'Stories', 'Story', 'Book', 'Picture Books', 'Chapter books', 'Hardcover', 'Paperback', 'Braille', 'Audio book', 'e-book', 'Family', '5 Year old', 'Orphan', 'Heidi (fictional character)', 'Grandfather', 'Nature', 'Love of nature', 'Goats', 'Mountain life', 'Swiss Alps', 'Swiss (German)', 'History', 'Invalids', 'Grandfathers', 'Juvenile fiction', 'Orphans', ""Children's fiction"", 'Grandparents, fiction', 'Orphans, fiction', 'Switzerland, fiction', 'Fiction, general', 'Girls, fiction', 'Large type books', 'Grandparent-grandchild relationship', 'Juvenile literature', 'Switzerland', 'Alps, fiction', 'Family life, fiction', 'Short stories', 'Heidi (Fictitious character : Spyri)', 'Grandparent and child']",['Heidi (fictional character)'],['Around 1827'],"['Swiss Alps', 'Switzerland']"
55,55,OL2666074W,['Teacher participation in curriculum planning'],,,['United States']
