,Unnamed: 0,work,subjects,people,times,places
2328,2328,OL103151W,,,,
2329,2329,OL274747W,"['American Science fiction', 'History and criticism', 'American Authors', 'Biography', 'Science fiction', 'Authorship', 'Bradbury, ray, 1920-2012', 'Science fiction, history and criticism', 'Authors, biography', 'Science fiction, authorship']",,,
2330,2330,OL103164W,"['Fiction, fantasy, collections & anthologies', 'Fiction, science fiction, short stories', 'American Short stories', 'Cuentos estadounidenses']",,,
2331,2331,OL1168039W,"['Literature', 'History and criticism', 'English literature', 'Fiction', ""Children's periodicals"", 'English authors', 'Literature, history and criticism', 'Fiction, short stories (single author)', 'English essays']","['Henry Miller (1891-1980)', 'Charles Dickens (1812-1870)']",['20th century'],
2332,2332,OL1168147W,"['Authorship', 'Orwell, george, 1903-1950']",['George Orwell (1903-1950)'],,
2333,2333,OL1168169W,"['English Personal narratives', 'Communism', 'Travel', 'Spanish Civil Guard', 'Politics and government', 'British Personal narratives', 'English Authors', 'Personal narratives', 'Récits personnels', 'Correspondence', 'Journeys', 'open_syllabus_project', 'History', 'Re cits personnels', 'Histoire', 'Politique et gouvernement', 'Spain', 'Política y gobierno', 'Soldiers', 'Biography', 'Long Now Manual for Civilization', 'Spain, politics and government', 'Europe, history', 'Autores ingleses', 'Historia', 'Biografía', 'Gobierno', 'Soldados', 'Relatos personales', 'History, study and teaching', 'Military biography', 'Modern History', 'Écrivains anglais', 'Biographies', 'HISTORY / Europe / Spain & Portugal', 'Spain, history, civil war, 1936-1939, personal narratives', 'Collected works (single author, multi-form)', 'Nationalism', 'Comic books, strips']","['George Orwell (1903-1950)', 'Francisco Franco (1892–1975)']","['1931-1939', '1936-1939']","['Catalonia', 'Aragon', 'Spain', 'Espagne', 'España', 'Catalonia (Spain)', 'Cataluña']"
2334,2334,OL1168209W,"['Literature', 'Fiction', 'Authors', 'Young men', 'Booksellers and bookselling', 'Alternative lifestyles', 'British and irish fiction (fictional works by one author)', 'Fiction, general', 'English literature', 'Social life and customs', 'Fathers and daughters', 'Children of clergy', 'Poverty', 'Amnesia', 'Clergy', 'Middle class', 'Young women', 'Belief and doubt']",,"[""1930's"", '20th century']","['London (England)', 'England', 'London', 'Suffolk']"
2335,2335,OL1168202W,"['English literature', 'Essayists, American, [French, German, etc.].', 'Fiction, short stories (single author)']",,,
2336,2336,OL15321W,"['History and criticism', 'Spanish American drama', 'Books and reading', 'Man-woman relationships', 'Fiction', 'Italian fiction', 'Translations Into English', 'Continental european fiction (fictional works by one author)', 'FICTION / General', 'Postmodernism (Literature)', 'Modern & contemporary fiction (post c 1945)']",,['To 1800'],
2337,2337,OL1901521W,"['Fiction', 'Man-woman relationships', 'Women', 'Wing, isadora (fictitious character), fiction', 'Man-woman relationships, fiction', 'Fiction, erotica', 'Fiction, romance, erotica', 'Fiction, erotica, general', 'Fiction, sagas']",,,
2338,2338,OL1901529W,"['Biography', 'American Women authors', 'American Authors', 'Biography & Autobiography', 'Nonfiction', 'Middle-aged women', 'Women authors', 'Authors, american', 'Women, biography', 'Women, united states, biography', 'Aging, psychological aspects', 'Authors, biography']",['Erica Jong'],['20th century'],
2339,2339,OL1901528W,"['Classic Literature', 'Divorce', 'Fiction', 'Literature', 'Man-woman relationships', 'Married women', 'Motion picture industry', 'Women', 'Women novelists', 'Wing, isadora (fictitious character), fiction', 'Fiction, erotica, general', 'Fiction, romance, erotica', 'California, fiction', 'Fiction, general', 'Los angeles (calif.), fiction', 'Hollywood (los angeles, calif.), fiction']",,,"['Calif.) Hollywood (Los Angeles', 'California', 'Hollywood (Los Angeles, Calif.)']"
2340,2340,OL1901511W,"['Fiction', 'Literature', 'Women', 'Self-esteem', 'Relationship addiction', 'Fiction, romance, general']",,,
2341,2341,OL1901527W,"['Women', 'Essays', 'Nonfiction', 'Sociology', ""Women's Studies"", 'Women, united states', 'Women, conduct of life', 'Interpersonal relations', 'Man-woman relationships']",,,['United States']
2342,2342,OL1901530W,"['Fiction', 'Prostitutes', 'Witches', 'Foundlings', 'Young women', 'Fiction, general', 'Fiction, erotica', 'Young women, fiction', 'London (england), fiction', 'Fiction, historical', 'Fiction, erotica, general', 'Fiction, historical, general', 'History', 'England, fiction']",,,['London (England)']
2343,2343,OL16035746W,,,,
2344,2344,OL3254088W,"['Drama', 'Fiction', 'Philippine drama', 'Reading Level-Grade 3', 'Reading Level-Grade 4', 'American drama (dramatic works by one author)']",,,['Philippines']
2345,2345,OL4452486W,"['Politics and government', 'Social life and customs', 'Ethnic relations', 'Civil society', 'History', 'Political activity', 'Armed Forces', 'Turkey, politics and government', 'Turkey, history', 'Turkey, social life and customs', '15.75 history of Asia', 'Société', 'Politique', 'Histoire', 'Manners and customs', 'Geschichte 1923-2000']",,['20th century'],['Turkey']
2346,2346,OL274518W,"['Fiction', 'Vida familiar', 'Family life', 'Historias de amor', 'Love stories', 'Ficció histórica', 'Historical fiction', 'Novels', 'Novela', 'Courtship', 'Translations into English', 'Colombian fiction', 'Spanish fiction', 'Cuentos del amor', 'Reading Group Guide', 'Romance fiction', 'Novela española', 'Romance-language fiction', 'Spanish language materials', 'Amor no correspondido', 'Man-woman relationships', 'Cortejo amoroso', 'Relaciones hombre-mujer', 'Unrequited love', 'Ficción', 'Translations into Russian', 'Latin American fiction', 'Chang pian xiao shuo', 'First loves', 'Spanish-American literature', 'Spanish literature', 'Translations from Spanish', ""Oprah's Reading Book Club selection"", ""Histoires d'amour"", 'Romans', 'Nouvelles', 'Movie novels', 'Fiction (fictional works by one author)', 'Colombia, fiction', 'Romance', 'Large type books', 'Romance literature', 'Materiales en español', 'Spanish language', 'Reading materials']",,,"['Colombia', 'Colombie']"
2347,2347,OL8105421W,"['Garcia marquez, gabriel, 1928-2014']",,,
2348,2348,OL8972751W,"['German fiction', 'Fiction, general', 'Fiction', 'Love', 'Man-woman relationships', 'Love stories', 'Identity (Psychology)', 'Surgeons', 'History', 'Translations from Czech', 'Translations into English', 'Czech fiction', 'English fiction', 'Continental european fiction (fictional works by one author)', 'Novela', 'Relaciones hombre-mujer', 'Cirujanos', 'Ficción', 'Liebesbeziehung', 'Arzt', 'Belletristische Darstellung', 'Large type books', 'Chang pian xiao shuo', 'Relaciones Hombre - Mujer', 'Amor en la literatura', 'open_syllabus_project', 'Prague (czech republic), fiction', 'Romance fiction', 'Relations entre hommes et femmes', 'Romans, nouvelles', 'Cuentos de amor']","['Tomáš', 'Tomas']","['1960-1970s', 'Geschichte 1968-1978', 'xian dai']","['Prague', 'prag', 'praha', 'Czech', 'Tschechoslowakei', 'Czech Republic', 'jie ke si luo fa ke']"
2349,2349,OL3189372W,"['Fiction', 'Japanese', 'Evacuation and relocation, 1942-1945', 'World War, 1939-1945', 'Japanese Canadians', 'Concentration camps', 'Concentration camp inmates', 'Canadian fiction', 'Women authors', 'Romans', 'Evacuation of civilians', 'World War (1939-1945) fast (OCoLC)fst01180924', 'Historical fiction', ""Canadiens d'origine japonaise"", 'Reading Level-Grade 7', 'Reading Level-Grade 9', 'Reading Level-Grade 8', 'Reading Level-Grade 11', 'Reading Level-Grade 10', 'Reading Level-Grade 12', 'Fiction, general', 'Canada, fiction', 'Romans, nouvelles', 'Japanese Historical fiction', 'Young adult fiction', 'Evacuation and relocation', '18.07 English literature outside Europe and the USA', 'Fiction, historical, general', 'World war, 1939-1945, fiction']",,"['Evacuation and relocation, 1942-1945']",['Canada']
2350,2350,OL49486W,,,,
2351,2351,OL3246392W,"['Politics and government', 'Ideals (Philosophy)', 'Legislators', 'United States Congress', 'United States Senate', 'Philosophy', 'Political and social views', 'United States', 'African American legislators', 'American National characteristics', 'Biography', 'Senator', 'American dream', 'Zi zhuan', 'United States. Congress. Senate', 'Zheng zhi ren wu', 'Wert', 'Ethnische Beziehungen', 'Politieke kwesties', 'Ideal', 'Politisches Denken', 'American national characteristics', 'Presidents', 'Politik', 'Legislators, united states', 'National characteristics, american', 'United states, congress, senate, biography', 'African american legislators', 'United states, politics and government, 2001-2009', 'Obama, barack, 1961-', 'Ideals (philosophy)', 'Economic conditions', 'Social conditions', 'Large type books', 'Economic history', 'Biographies', 'Parlementaires', 'Parlementaires noirs américains', 'Américains', 'Idéaux (Philosophie)', 'Politique et gouvernement', 'Philosophie', 'Wertorientierung', 'États-Unis. Congress. Senate', 'États-Unis', 'Umschulungswerkstätten für Siedler und Auswanderer', 'New York Times reviewed', 'Barack', 'Filosofi', 'Afro-amerikaner', 'Politisk verksamhet', 'Politiker', 'Politik och förvaltning', 'African americans, biography']",['Barack Obama'],"['2001-', '2001-2009', '1980-']",['United States']
2352,2352,OL3763273W,"['Biography', 'Heads of state', 'Politics and government', 'China, politics and government, 1949-', 'Communism', 'China, biography']",['Mao Zedong (1893-1976)'],['1949-'],['China']
2353,2353,OL8253922W,,,,
2354,2354,OL5850236W,"['Civilization', 'Description and travel', 'Nonfiction', 'Travel', 'China -- Description and travel', 'New York Times reviewed', 'China, description and travel', 'China, civilization']",,,['China']
2355,2355,OL17739952W,"['Gay youth', 'Fiction', 'Fiction, fantasy, general', 'Gay men, fiction']",,,"['England', 'New York (State)', 'New York (N.Y.)', 'New York']"
2356,2356,OL81294W,"['Romance', 'Classic Literature', 'Male friendship', 'Open Library Staff Picks', 'Fiction', 'Social classes', 'Social conditions', 'Interpersonal relations', 'open_syllabus_project', 'Sisters', 'Coal mines and mining', 'Coal miners', 'Women', 'British and irish fiction (fictional works by one author)', 'England, fiction', 'Sisters, fiction', 'Fiction, psychological', 'Friendship, fiction', 'Fiction, romance, general', 'Women teachers', 'Fiction, general', 'Sexual behavior', 'Fiction, fantasy, short stories', 'Large type books', 'English fiction', 'English literature', 'Zhang pian xiao shuo']",['D. H. Lawrence (1885-1930)'],"['Early 20th century', ""1920's"", 'Xiandai']","['England', 'Midlands (England)', 'Midlands', 'Ying guo']"
2357,2357,OL2647505W,"['Alcoholics', 'Alcohólicos', 'Amor', 'Aspectos psicológicos', 'Family relationships', 'Group psychotherapy', 'Love', 'Mental health', 'Psychological aspects', 'Psychological aspects of Love', 'Psychology', 'Relaciones familiares', 'Relationship addiction', 'Treatment', 'Women', 'Women, mental health', 'Women -- Psychology', 'Women, sexual behavior']",,,
2358,2358,OL1929396W,"['Psychology', 'Misogyny', 'Men', 'Women', 'Sociale relaties', 'Psychologische aspecten', 'Interpersonal relations', 'Hommes', 'Femmes', 'Mujeres', 'Hombres', 'Misoginia', 'Vrouwen', 'Aspect psychologique', 'Psicología', 'Mannen', 'Interpersonal Relations', 'Psychologie', 'Amour', 'Personal Growth - Self-Esteem', 'Self-Help / Self-Esteem', 'Love / Sex / Marriage', 'Abusive men', 'Psychological abuse', 'Wife abuse', 'Man-woman relationships']",,,"['United States', 'Estados Unidos']"
2359,2359,OL74123W,"['Description and travel', 'Natural history', 'Travel', 'Journeys', 'Hiking', 'Nonfiction', 'Natural history, united states', 'Appalachian trail', 'nyt:travel=2014-09-07', 'New York Times bestseller', 'nyt:travel=2016-01-10']","['Bill Bryson', 'Bill Bryson (1951-)']",['Hiking the Appalachian Trail'],"['Appalachian Trail', 'Gatlinburg', 'Tennessee', 'Centralia', 'Roanoke', 'Virginia', 'Milo', 'Maine']"
2360,2360,OL8044162W,,,,
2361,2361,OL74405W,"['Race relations', 'Male friendship', 'Teenage boys', 'Fiction', 'Bildungsromans', 'Racial tension', 'Graffiti art', 'Music as a culture', 'Friendship vs. love', 'Drug abuse', 'Father-son dynamics', 'gentrification', 'Large type books', 'Fiction, general', 'New york (n.y.), fiction', 'Friendship, fiction']","['Dylan Ebdus', 'Mingus Rude', 'Abraham Ebdus', 'Barrett Rude Jr.', 'Arthur Lomb', 'Robert Woolfolk', 'Rachel Ebdus']","['1970s', '1990s']","['Brooklyn (New York, N.Y.)', 'Brooklyn', 'New York', 'Berkeley', 'Fortress of Solitude', 'Dean Street', 'Camden College']"
2362,2362,OL7694603W,"['Physicians, fiction', 'Fiction, science fiction, action & adventure', 'Crime, fiction', 'Scientists, fiction']",,,
2363,2363,OL15341W,"['Fiction, general']",,,
2364,2364,OL15337W,"['Man-woman relationships', 'Fiction', 'Interpersonal relations', 'Cuentos italianos', 'Fiction, short stories (single author)', 'Continental european fiction (fictional works by one author)', 'Italy, fiction']",,,
2365,2365,OL15336W,"['Fiction', 'Continental european fiction (fictional works by one author)']",,,['Italy']
2366,2366,OL931666W,"['literary fiction', 'Immigrants in fiction', 'Genealogy', 'Scots in fiction', 'Literature', 'Immigrants', 'Fiction', 'Scots', 'Laidlaw family. in fiction', 'Short stories', 'Fiction, short stories (single author)', 'Fiction, biographical', 'Canada, fiction', 'Large type books']",['Laidlaw family'],,['Canada']
2367,2367,OL7972291W,"['Married people', 'Fiction', 'Fiction, general', 'Friendship', 'Novelists']",,,
2368,2368,OL1828588W,"['Rats', 'Human-animal relationships', 'Juvenile literature', 'Sculptors', 'Biography', 'Nevelson, louise, 1900-1988']",,,
2369,2369,OL16028991W,"['Fiction', 'Historical Fiction', 'Japanese Prisoners and prisons', 'Prisoners and prisons, Japanese', 'Prisoners of war', 'Soldiers', 'War stories', 'World War, 1939-1945', 'Prisoner of war', 'Fiction, general']",,,['United States']
2370,2370,OL276509W,"['Organized crime', 'Gangsters', 'Social conditions', 'Biography', 'Irish Americans', 'Crime, united states', 'Criminals, biography', 'Irish americans', 'Boston (mass.), social conditions', 'Boston (mass.), biography']",,,
2371,2371,OL502038W,"['Humor, form, comic strips & cartoons', 'Comic books, strips, etc.', 'American wit and humor, pictorial', 'Comics & graphic novels, general']",,,
2372,2372,OL2625409W,"['Translations into English', 'Japanese Short stories', 'Fiction', 'Literature', 'Fiction - General', 'Literary', 'Short Stories (single author)', 'Fiction / Literary', 'Fiction, short stories (single author)', 'Japanese fiction', 'Translations into Hebrew', 'Short stories', 'New York Times reviewed']",['Haruki Murakami (1949-)'],,
2373,2373,OL6020605W,"['Social life and customs', 'Description and travel', 'Booksellers and bookselling', 'Travel', 'Biography', 'Librerías', 'Viaje', 'Biografía', 'New York Times reviewed', 'Kabul (afghanistan)', 'Afghanistan, social life and customs', 'Afghanistan, biography']","['Seierstad, Åsne (1970-)', 'Khan family', 'Familia Khan']",,"['Afghanistan', 'Kabul', 'Kabul (Afghanistan)', 'Kābol', 'Kābol (Afghanistan)', 'Afganistán', 'Kabul (Afganistán)']"
2374,2374,OL2678912W,"['Multi-Cultural', 'Nonfiction', 'Reading Lolita in Tehran (Nafisi, Azar)', 'Frauenliteratur', 'History and criticism', 'Criticism and interpretation', 'Women authors', 'Persisk litteratur', 'Persian literature', 'Reading Lolita in Tehran', 'Kvinnliga författare', 'Persian literature, history and criticism', 'TRAVEL', 'Special Interest', 'Literary', 'LITERARY CRITICISM', 'General']",,,
2375,2375,OL624781W,"['Organisations financières internationales', 'International economic relations', 'Dette extérieure', 'Relations économiques internationales', ""Protection de l'environnement"", 'Globalisierung', 'Pays en développement', 'Globalization', 'Internationalisatie', ""Intervention de l'Etat"", 'Justice sociale', 'Economic aspects', 'Pauvreté', 'Mondialisation', 'Foreign trade regulation', 'International economic integration', 'Aspectos económicos', 'Globalización', 'Economic aspects of Globalization', 'Social justice', 'Wirtschaftsordnung', 'Globalisering', 'Ekonomiska aspekter', 'Wirtschaftspolitik', 'Miljo\x98ekonomi', 'New York Times reviewed', 'Aspecte economice', 'Globalizare', 'Development policies', 'International cooperation', 'Social structure']",,,
2376,2376,OL15858107W,"['Self-destructive behavior', 'Teenage girls', 'Preparatory school students', 'Fiction', 'Girls']",,,"['Indiana', 'Massachusetts']"
2377,2377,OL5738257W,,,,
2378,2378,OL457154W,"['Wizard of Oz (Motion picture)', 'Wizard of Oz (Motion picture : 1939)', 'Wizard of oz (motion picture)', 'Criticism and interpretation']",,,
2379,2379,OL457118W,"['Fiction', 'Popular music', 'Popular music in fiction', 'Composers', 'Composers in fiction', 'Women singers', 'Photographers', 'Photographers in fiction', 'Women singers in fiction', 'England', 'India in fiction', 'New York (N.Y.)', 'England in fiction', 'Chanteuses', 'Photographes', 'Compositeurs', 'Romans', 'nouvelles', 'Musique populaire', 'Man-woman relationships', 'Musicians', 'Fiction, romance, contemporary', 'Musicians, fiction', 'England, fiction', 'India, fiction', 'Composers, fiction', 'New york (state), fiction', 'Large type books', 'Death', 'Rock music', 'Myth', 'Musiciens', ""Roman indien (de l'Inde) de langue anglaise"", ""Roman de l'Inde de langue anglaise""]",,"['1971-1980', '1951-1960', '1961-1970']","['India', 'New York (State)', 'England', 'New York']"
2380,2380,OL457170W,"['Fiction', 'Family', 'Ficción', 'Mothers and sons', 'Spice trade', 'Familia', 'Commerce', 'Épices', 'Romans, nouvelles', 'Mères et fils', 'Indic fiction (English)', 'Families', 'Novela', 'Fiction, general', 'India, fiction', 'Mothers and sons, fiction', 'Large type books', 'India']",,['20th century'],"['India', 'Inde']"
2381,2381,OL457175W,"['General & Literary Fiction', 'East Indians', 'Didactic fiction', 'literary fiction', 'families', 'Islam', 'Fiction', 'Survival after airplane accidents, shipwrecks', 'Survival', 'open_syllabus_project', 'metamorphosis', 'death', 'Family', 'Description and travel', 'Travel', 'Fiction, general', 'India, fiction', 'England, fiction', 'London (england), fiction', 'Criticism and interpretation', 'Islam in literature', 'Good and evil', 'English fiction', ""Roman de l'Inde de langue anglaise"", 'Traductions françaises', 'Habiletés de survie', 'Romans, nouvelles', ""Indiens (Habitants de l'Inde)"", 'Hijacking of aircraft', 'Identity (Psychology)', 'Airplane crash survival', ""Survie après accidents d'avion"", 'FICTION', 'General', 'Nicaragua, description and travel']","['Mahound', 'Allāt', 'Uzza', 'Manāt', 'Gibreel Farishta', 'Saladin Chamcha', 'Allie Cone', 'the Devil', 'Karim Abu Simbel', 'Al-Lat', 'Alleluia Cone', 'Ayesha', 'Anahita Sufyan', 'Bilal', 'Death', 'Changez Chamchawala', 'Hamza', 'Hanif Johnson', 'Hind', 'Mishal', 'Shaitan']",,"['India', 'England', 'London', 'Arabian Sea', 'Bombay', 'Brickhall', 'Everest', 'Yathrib', 'Spring of Zamzam']"
2382,2382,OL506114W,"['Fiction in English', 'Fiction', 'Fiction, general', 'American fiction (fictional works by one author)']",,,['Chicago (Ill.)']
2383,2383,OL457178W,"['Fiction', 'Indians of North America', 'Immortalism', 'Islands', 'Mortality', 'Seafaring life', 'Fiction in English', 'Paranormal fiction', 'Poor children', 'Relations', 'Infants switched at birth', 'Children of the rich', 'Hinduism', 'Islam', 'Fiction, science fiction, general']",,,
2384,2384,OL1992167W,"['American Short stories', 'Manners and customs', 'Fiction', 'Social life and customs', 'Translations into Russian', 'American fiction', 'Gay men', 'Interpersonal relations', 'Gay authors', 'Young women', 'Relations with women', 'American fiction (fictional works by one author)', 'Roman américain', 'New York Times reviewed', 'Tiffany and Company', 'Fiction, general', 'Conduct of life', 'Boys', 'Death', 'Stepmothers', 'Mothers', 'Friendship', 'Fiction, coming of age', 'Fiction, biographical', 'New york (n.y.), fiction', 'Friendship, fiction', 'Southern states, fiction', 'Junge Frau', 'Nonkonformismus', 'English language', 'Romance norte americano']","['Truman CCapote (1924-1984)', 'Holly Golightly (fictional character)']",['20th century'],"['United States', 'New York (State)', 'New York (N.Y.)', 'New York', 'New York <NY>']"
2385,2385,OL545418W,"['Fiction, short stories (single author)', 'Fiction, general', 'West (u.s.), fiction']",,,
2386,2386,OL545420W,"['Fiction', 'Death row inmates in fiction', 'Bus travel', 'Drifters', 'Drifters in fiction', 'Death row inmates', 'Arizona in fiction', 'Bus travel in fiction', 'Problem families', 'Problem families in fiction', 'Dysfunctional families', 'Dysfunctional families in fiction', 'Fiction, general']",,,['Arizona']
2387,2387,OL545412W,['Poetry (poetic works by one author)'],,,
2388,2388,OL545414W,"['Fiction', 'Man-woman relationships', 'Americans', 'British', 'Fiction, general', 'Man-woman relationships, fiction']",,,"['Nicaragua', 'Managua (Nicaragua)']"
2389,2389,OL1812931W,"['Fiction', 'College students', 'Étudiants', 'Romans, nouvelles', 'Triangles (Interpersonal relations)', 'Fiction, general', 'New england, fiction']",,,['New Hampshire']
2390,2390,OL1812911W,"['Fiction, thrillers, general', 'Paris (france), fiction', 'France, fiction', 'New york (n.y.), fiction', 'Terroristische Vereinigung', 'Dressman', 'High-Society', 'Lebensstil', 'Young men', 'Fiction', 'Models', 'Terrorism', 'Fiction, thrillers', 'Fiction, suspense', 'Terrorism, fiction', 'Fiction, thrillers, suspense', 'American literature']",,,['New York (N.Y.)']
2391,2391,OL1812917W,"['Drug addiction', 'Fiction', 'Friendship', 'Generation X', 'Young men', 'Young men -- Fiction.', 'Drug addiction -- Fiction.', 'Friendship -- Fiction.', 'Generation X -- Fiction.', 'Los Angeles (Calif.) -- Fiction.', 'Fiction, coming of age', 'Friendship, fiction', 'Los angeles (calif.), fiction', 'New York Times reviewed', 'American literature', 'Generation X.']",,['1980s'],"['Los Angeles (Calif.)', 'Los Angeles']"
2392,2392,OL1992175W,"['Fiction', 'Boys', 'Thanksgiving Day', 'American Christmas stories', 'Families', 'American Autobiographical fiction', 'Christmas, fiction', ""Children's fiction"", 'Friendship, fiction', 'Boys, fiction', 'Thanksgiving day, fiction', 'Family, fiction', 'Friendship', 'Christmas', 'Christmas stories', 'American literature', 'Southern states, fiction', 'Fiction, general']",,,"['Southern States', 'New Orleans', 'Louisiana']"
2393,2393,OL3466832W,"['Social life and customs', 'Family', 'American Authors', 'Homes and haunts', 'Authors, American', 'Family relationships', 'In literature', 'Childhood and youth', 'Biography', 'Capote, truman, 1924-1984', 'Authors, american', 'Alabama, biography']","['Marie Rudisill', 'Truman Capote (1924-)']",['20th century'],"['Alabama', 'Homes and haunts', 'Monroeville', 'Monroeville (Ala.)', 'Southern States']"
2394,2394,OL1992180W,"['Fiction', 'Manhattan (New York, N.Y.) -- Fiction', 'Teenage girls', 'New york (n.y.), fiction', 'Fiction, romance, general', 'Large type books', 'Romance fiction']",,,"['Manhattan (New York, N.Y.)', 'New York (State)', 'New York', 'Manhattan']"
2395,2395,OL1992163W,"['New York Times reviewed', 'Fiction', 'Authors', 'Upper class', 'Authors -- Fiction.', 'Authors, fiction', 'American fiction (fictional works by one author)', 'Fiction, general']",,,
2396,2396,OL1992165W,"['Fiction', 'Fiction in English', 'Boys', 'Family', 'American drama', 'City and town life', 'Drama', 'Ältere Frau', 'Konvention', 'American fiction (fictional works by one author)', 'Fiction, general']",,,"['Southern States', 'USA']"
2397,2397,OL2777419W,"['Black race', 'Blacks', 'Ethiopian Jews', 'History', 'Jews, Ethiopian', 'Blacks, history', 'Jews, ethiopian', 'Africa, history', 'Africa, civilization']",,,['Africa']
2398,2398,OL5789987W,"['Canoes and canoeing', 'Description and travel', 'Travel', 'Africa, description and travel']",['Kira Salak (1971-)'],,"['Niger River', 'West Africa']"
2399,2399,OL15006710W,,,,
2400,2400,OL119114W,"['Toleration', 'Ethnic relations', 'History', 'Assassination', 'Multiculturele samenlevingen', 'Verdraagzaamheid', 'Identiteitscrisis', 'Histoire', 'Extremisme', 'Tolérance', 'Islamisme', 'Relations interethniques', 'Assassinat', 'Moorden', 'Mord', 'Toleranz', 'New York Times reviewed', 'Ethnology, netherlands', 'Europe, ethnic relations', 'Murder, europe', 'Netherlands, social conditions', 'Islamic fundamentalism', 'Motion picture producers and directors', 'Islam, europe']","['Theo van Gogh', 'Theo van Gogh (1957-2004)']","['21st century', '21e siècle']","['Europe', 'Netherlands', 'Pays-Bas', 'Nederland']"
2401,2401,OL1855884W,"['Orphans', 'Fiction in English', 'Fiction', 'Ficción', 'Huérfanos', 'Abandoned children', 'English fiction', 'British and irish fiction (fictional works by one author)', 'England, fiction', 'Weeskinderen', 'Dood', 'Angsten', 'Leermiddelen ; Engels', 'Romans en novellen ; oorspr. - andere talen']",,,"['England', 'Inglaterra']"
2402,2402,OL1855944W,"['historical romance', 'Dunkirk Evacuation', 'National Book Critics Circle Award Winner', 'award:national_book_critics_circle_award=2002', 'award:national_book_critics_circle_award=fiction', 'Psychological fiction', 'Teenage girls', 'Fiction', 'Atonement', 'Ex-convicts', 'Sisters', 'Domestic fiction', 'Life change events', 'Country life', 'Guilt', 'open_syllabus_project', 'World War, 1939-1945', 'History', 'Family', 'Teenagers', 'False testimony', 'Historical fiction', 'Girls', 'Fictional Works [Publication Type]', 'Dunkirk, Battle of, Dunkerque, France, 1940', 'Fictional Works', 'England, fiction', 'Sisters, fiction', 'British and irish fiction (fictional works by one author)', 'Fiction, psychological', 'Fiction, family life', 'Judicial error', 'Large type books', 'Fiction, general', 'FICTION / Literary', 'FICTION / Historical', 'FICTION / Sagas', 'Guerre mondiale, 1939-1945', 'Romans', 'Adolescents', 'Romans, nouvelles', 'Sœurs', 'Fiction, family life, general', 'Fiction, romance, historical, general', 'English literature']","['Briony Tallis', 'Cecilia Tallis', 'Robbie Turner', 'Dolores Quincey', 'Jackson Quincey', 'Pierrot Quincey', 'Leon Tallis', 'Paul Marshall', 'Danny Hardman', 'Corporal Nettle', 'Corporal Mace', 'Betty', 'Luc', 'Emily Tallis', 'Jack Tallis', 'Grace Turner']","['1936-1952, George 6', 'George VI, 1936-1952', 'George V, 1910-1936', '1935', '1939-45']","['England', 'Great Britain', 'University of Cambridge']"
2403,2403,OL13329443W,"['Spiritual life', 'Catholic Church', 'Specific Members Of Religious Congregations And Orders', 'Religion', 'Religion & Beliefs', 'General', 'Christianity', 'History of doctrines', 'Spiritual life, catholic church']",,"['Middle Ages, 600-1500']",
2404,2404,OL873092W,"['German literature', 'Translations into English', 'Fiction', 'Composers', 'People with disabilities', 'Opera', 'Man-woman relationships', 'Fiction, general', 'Large type books', 'German fiction', 'Continental european fiction (fictional works by one author)']",,"['20th century', '19th century']",
2405,2405,OL498463W,"['Fiction', 'Alegorical fiction', 'Manuscripts', 'Facsimiles', 'Trials', 'Ficción', 'Procesos criminales', 'Fiction, psychological', 'Continental european fiction (fictional works by one author)', 'Psychological fiction', 'Prisoners', 'Legal status, laws', 'Administration of Criminal justice', 'Moral and ethical aspects', 'Novela checoslovaca', 'Continental european drama (dramatic works by one author)', 'Totalitarianism', 'Germanic literature', 'English literature', 'Fiction, general', 'Literatura checoslovaca', 'Novela alemana', 'Literatura alemana', 'Fiction, dystopian', 'Fiction, classics', 'German fiction', 'German literature', 'German Short stories', 'Deutschunterricht', 'Literature', 'Formas y generos literarios', 'Novelas', 'Alemania', 'Literatura', 'Fiction, absurdist', 'German language', 'Readers', 'Adaptations', 'Prozess (Kafka, Franz)']","['Franz Kafka (1883-1924)', 'Josef K', 'Leni', 'Mrs. Grubach', 'Frau Grubach', 'Titorelli', 'Fräulein Bürstner', 'Fräulein Montag', 'Uncle Karl', 'Herr Huld', 'Vice-President']","['Early 20th century', ""1920's"", '20th century', 'Siglo XX']",['German literature']
2406,2406,OL2625457W,"['Student', 'Theaterwissenschaft', 'Liebesbeziehung', 'Belletristische Darstellung', 'Fiction, romance, general', 'College students', 'Fiction', 'Man-woman relationships', 'Young men', 'Fiction, romance, contemporary', 'Japan, fiction', 'Near and far eastern fiction (fictional works by one author)', 'Chinese fiction', 'Chang pian xiao shuo', 'Japanese fiction', 'Translations into Chinese', 'Translations into Russian', 'College students in fiction', 'Nineteen sixties', 'Xiao shuo', 'Language and languages', 'Translations into English', 'Roman japonais', 'Années soixante (Vingtième siècle)', 'Romans, nouvelles', 'Tokyo (japan), fiction', 'Étudiants']",,,['Japan']
2407,2407,OL2644755W,"['Fiction', 'Fiction, general']",,,['Japan']
2408,2408,OL8037368W,['Near and far eastern fiction (fictional works by one author)'],,,
2409,2409,OL905367W,['Near and far eastern drama (dramatic works by one author)'],,,
2410,2410,OL8037377W,"['Fiction, general']",,,
2411,2411,OL24228207W,,,,
